	method	tf	M	fid	args
186	DT	21.672125071453813	51	0.9980561599327656	(6, 3, 1223749, 0, 1.0)
187	DT	20.08351234691571	30	0.999993383642715	(4, 2, 1223749, 1, 1.0)
188	DT	25.072408441975732	50	0.9956223816276754	(4, 2, 1223749, 0, 1.0)
189	DT	20.08351234691571	30	0.9901413995231718	(4, 2, 1223749, 1, 1.0)
190	DT	46.62934994568243	116	0.9999244297158603	(7, 4, 1223749, 4, 1.0)
191	DT	27.669801480694208	51	0.9999986954395383	(5, 3, 1223749, 5, 1.0)
192	DT	30.256353376570324	75	0.9999850996552149	(7, 4, 1223749, 11, 1.0)
193	DT	74.45778192576036	204	0.9999970620690759	(8, 4, 1223749, 15, 1.0)
194	DT	70.09187833087464	192	0.99999999	(8, 4, 1223749, 5, 1.0)
195	DT	40.061516146707994	90	0.9999998857826431	(6, 3, 1223749, 8, 1.0)
196	DT	30.256353376570324	75	0.9999999492828621	(7, 4, 1223749, 11, 1.0)
197	DT	20.08351234691571	30	0.9999998857826431	(4, 2, 1223749, 1, 1.0)
198	DT	70.09187833087464	192	0.9996167291477257	(8, 4, 1223749, 5, 1.0)
199	DT	20.71490841274122	41	0.9999664437295102	(5, 3, 1223749, 2, 1.0)
200	DT	30.256353376570324	75	0.9956223816276754	(7, 4, 1223749, 11, 1.0)
201	DT	15.063243419319775	41	0.9999998857826431	(7, 4, 1223749, 0, 1.0)
202	DT	19.86570280553979	37	0.9998298122001763	(5, 3, 1223749, 4, 1.0)
203	DT	18.134337405558778	40	0.9999244297158603	(6, 3, 1223749, 3, 1.0)
204	DT	18.134337405558778	40	0.9999999492828621	(6, 3, 1223749, 3, 1.0)
205	DT	19.86570280553979	37	0.9999999774795342	(5, 3, 1223749, 4, 1.0)
206	DT	40.061516146707994	90	0.9999994207222558	(6, 3, 1223749, 8, 1.0)
207	DT	30.256353376570324	75	0.9996167291477257	(7, 4, 1223749, 11, 1.0)
208	DT	25.072408441975732	50	0.9999970620690759	(4, 2, 1223749, 0, 1.0)
209	DT	25.072408441975732	50	0.9999850996552149	(4, 2, 1223749, 0, 1.0)
210	DT	20.71490841274122	41	0.9999997427771922	(5, 3, 1223749, 2, 1.0)
211	DT	25.072408441975732	50	0.9901413995231718	(4, 2, 1223749, 0, 1.0)
212	DT	21.672125071453813	51	0.99999999	(6, 3, 1223749, 0, 1.0)
213	DT	74.45778192576036	204	0.95	(8, 4, 1223749, 15, 1.0)
214	DT	27.669801480694208	51	0.9980561599327656	(5, 3, 1223749, 5, 1.0)
215	DT	36.72400022377217	82	0.9777979725285864	(6, 3, 1223749, 6, 1.0)
216	DT	20.71490841274122	41	0.9980561599327656	(5, 3, 1223749, 2, 1.0)
217	DT	15.063243419319775	41	0.9999986954395383	(7, 4, 1223749, 0, 1.0)
218	DT	20.272053826375494	50	0.9999970620690759	(7, 4, 1223749, 8, 1.0)
219	DT	21.672125071453813	51	0.95	(6, 3, 1223749, 0, 1.0)
220	DT	36.72400022377217	82	0.95	(6, 3, 1223749, 6, 1.0)
221	DT	27.669801480694208	51	1.0	(5, 3, 1223749, 5, 1.0)
222	DT	27.669801480694208	51	0.9999970620690759	(5, 3, 1223749, 5, 1.0)
223	DT	44.824482184586365	67	0.9999664437295102	(4, 2, 1223749, 2, 1.0)
224	DT	70.09187833087464	192	0.9999970620690759	(8, 4, 1223749, 5, 1.0)
225	DT	15.063243419319775	41	0.9996167291477257	(7, 4, 1223749, 0, 1.0)
226	DT	31.87383328062299	95	0.9901413995231718	(8, 4, 1223749, 0, 1.0)
227	DT	39.317827762509644	108	0.9998298122001763	(8, 4, 1223749, 10, 1.0)
228	DT	74.45778192576036	204	0.9996167291477257	(8, 4, 1223749, 15, 1.0)
229	DT	40.061516146707994	90	0.9999664437295102	(6, 3, 1223749, 8, 1.0)
230	DT	44.824482184586365	67	0.9998298122001763	(4, 2, 1223749, 2, 1.0)
231	DT	31.87383328062299	95	0.999993383642715	(8, 4, 1223749, 0, 1.0)
232	DT	27.669801480694208	51	0.9999999774795342	(5, 3, 1223749, 5, 1.0)
233	DT	18.580306022564123	37	0.9777979725285864	(5, 3, 1223749, 0, 1.0)
234	DT	20.08351234691571	30	0.9999994207222558	(4, 2, 1223749, 1, 1.0)
235	DT	27.669801480694208	51	0.9991368561885445	(5, 3, 1223749, 5, 1.0)
236	DT	30.256353376570324	75	1.0	(7, 4, 1223749, 11, 1.0)
237	DT	20.08351234691571	30	0.9980561599327656	(4, 2, 1223749, 1, 1.0)
238	DT	18.580306022564123	37	0.9996167291477257	(5, 3, 1223749, 0, 1.0)
239	DT	40.061516146707994	90	0.99999999	(6, 3, 1223749, 8, 1.0)
240	DT	70.09187833087464	192	0.9999999774795342	(8, 4, 1223749, 5, 1.0)
241	DT	20.272053826375494	50	0.9956223816276754	(7, 4, 1223749, 8, 1.0)
242	DT	70.09187833087464	192	0.9999664437295102	(8, 4, 1223749, 5, 1.0)
243	DT	21.672125071453813	51	0.9996167291477257	(6, 3, 1223749, 0, 1.0)
244	DT	30.905755670485895	46	0.9999986954395383	(4, 2, 1223749, 3, 1.0)
245	DT	18.134337405558778	40	0.9901413995231718	(6, 3, 1223749, 3, 1.0)
246	DT	15.063243419319775	41	0.9999997427771922	(7, 4, 1223749, 0, 1.0)
247	DT	15.063243419319775	41	0.9980561599327656	(7, 4, 1223749, 0, 1.0)
248	DT	46.62934994568243	116	0.9999997427771922	(7, 4, 1223749, 4, 1.0)
249	DT	36.72400022377217	82	0.9999664437295102	(6, 3, 1223749, 6, 1.0)
250	DT	21.672125071453813	51	0.9999850996552149	(6, 3, 1223749, 0, 1.0)
251	DT	74.45778192576036	204	0.999993383642715	(8, 4, 1223749, 15, 1.0)
252	DT	44.824482184586365	67	0.9980561599327656	(4, 2, 1223749, 2, 1.0)
253	DT	46.62934994568243	116	0.9980561599327656	(7, 4, 1223749, 4, 1.0)
254	DT	27.669801480694208	51	0.9999994207222558	(5, 3, 1223749, 5, 1.0)
255	DT	18.580306022564123	37	0.9956223816276754	(5, 3, 1223749, 0, 1.0)
256	DT	36.72400022377217	82	0.9996167291477257	(6, 3, 1223749, 6, 1.0)
257	DT	70.09187833087464	192	0.9999850996552149	(8, 4, 1223749, 5, 1.0)
258	DT	15.063243419319775	41	0.9999999492828621	(7, 4, 1223749, 0, 1.0)
259	DT	18.134337405558778	40	0.9999998857826431	(6, 3, 1223749, 3, 1.0)
